1	295
1	470
2	62
2	67
3	50
3	123
4	28
4	225
5	31
5	230
6	40
6	390
7	120
7	349
8	29
8	36
9	400
9	424
10	118
10	394
11	143
11	322
12	399
12	449
13	141
13	391
14	283
14	331
15	130
15	434
16	177
16	235
17	251
17	302
18	131
18	486
19	73
19	178
20	309
20	387
21	74
21	146
22	54
22	405
23	126
23	310
24	75
24	205
25	48
25	102
26	40
26	50
27	144
27	348
28	4
28	345
29	8
29	463
30	33
30	87
31	5
31	276
32	132
32	303
33	30
33	78
34	267
34	416
35	355
35	373
36	8
36	179
37	98
37	134
38	194
38	286
39	192
39	372
40	6
40	26
41	59
41	347
42	100
42	261
43	149
43	400
44	121
44	285
45	366
45	414
46	66
46	350
47	217
47	368
48	25
48	244
49	185
49	282
50	3
50	26
51	225
51	240
52	190
52	303
53	94
53	201
54	22
54	340
55	188
55	357
56	340
56	467
57	163
57	176
58	184
58	351
59	41
59	489
60	299
60	318
61	82
61	452
62	2
62	430
63	316
63	485
64	197
64	495
65	106
65	243
66	46
66	70
67	2
67	128
68	273
68	297
69	224
69	332
70	66
70	289
71	226
71	454
72	382
72	473
73	19
73	191
74	21
74	361
75	24
75	251
76	137
76	220
77	310
77	374
78	33
78	195
79	158
79	168
80	101
80	388
81	363
81	446
82	61
82	478
83	154
83	433
84	305
84	359
85	153
85	271
86	222
86	312
87	30
87	124
88	150
88	323
89	206
89	490
90	115
90	284
91	101
91	231
92	176
92	192
93	189
93	478
94	53
94	343
95	135
95	196
96	243
96	496
97	107
97	415
98	37
98	181
99	276
99	280
100	42
100	499
101	80
101	91
102	25
102	358
103	136
103	336
104	425
104	474
105	268
105	397
106	65
106	441
107	97
107	159
108	116
108	404
109	113
109	476
110	370
110	498
111	231
111	297
112	391
112	421
113	109
113	315
114	254
114	269
115	90
115	448
116	108
116	265
117	161
117	227
118	10
118	280
119	193
119	418
120	7
120	353
121	44
121	215
122	352
122	475
123	3
123	461
124	87
124	224
125	130
125	487
126	23
126	389
127	210
127	443
128	67
128	230
129	367
129	389
130	15
130	125
131	18
131	274
132	32
132	477
133	172
133	454
134	37
134	375
135	95
135	138
136	103
136	425
137	76
137	484
138	135
138	287
139	438
139	466
140	211
140	372
141	13
141	253
142	326
142	493
143	11
143	313
144	27
144	260
145	250
145	0
146	21
146	160
147	362
147	472
148	330
148	427
149	43
149	421
150	88
150	263
151	173
151	490
152	271
152	366
153	85
153	404
154	83
